Algoritmo,Iteraciones,Largo del Camino (km),Velocidad Promedio (km/h),Tiempo de Viaje (min),Tiempo Total (s)
a_star,203,2.588679,50.666666666666664,3.065540921052632,0.016489744186401367
dijkstra,3298,12.187097000000001,43.829787234042556,16.683307543689324,0.048491477966308594
a_star,1332,12.145415000000003,41.584158415841586,17.52409878571429,0.03089165687561035
dijkstra,1909,3.2235610000000006,40.0,4.8353415,0.03499937057495117
a_star,373,3.2426929999999996,40.0,4.8640395,0.019539356231689453
dijkstra,3227,7.352159999999997,49.1566265060241,8.973959999999996,0.04851722717285156
a_star,2065,7.258055999999998,48.470588235294116,8.984486796116503,0.03641629219055176
dijkstra,1562,3.8869080000000005,54.8936170212766,4.248480837209303,0.031000375747680664
a_star,694,3.2371589999999997,40.0,4.855738499999999,0.022273540496826172
dijkstra,3288,5.452736000000001,40.0,8.179104,0.04917097091674805
a_star,1003,5.452736000000001,40.0,8.179104,0.025333166122436523
dijkstra,70,0.412028,40.0,0.618042,0.01609969139099121
a_star,14,0.412028,40.0,0.618042,0.015010356903076172
dijkstra,2124,3.503927,40.0,5.2558905,0.03493475914001465
a_star,314,3.503927,40.0,5.2558905,0.018281221389770508
dijkstra,1110,4.599011000000001,45.4054054054054,6.077264535714288,0.027056217193603516
